query,forum_topics_url
CENTENKA,https://mmb.moneycontrol.com/forum-topics/stocks/century-enka-41021.html
CENTURYTEX,https://mmb.moneycontrol.com/forum-topics/stocks/aditya-birla-re-3966.html
CESC,https://mmb.moneycontrol.com/forum-topics/stocks/cesc-48181.html
CHAMBLFERT,https://mmb.moneycontrol.com/forum-topics/stocks/chambal-fert-3962.html
CHEMPLASTS,https://mmb.moneycontrol.com/forum-topics/stocks/chemplast-511716.html
CHENNPETRO,https://mmb.moneycontrol.com/forum-topics/stocks/chennai-petro-3602.html
CIBASPEC,https://mmb.moneycontrol.com/forum-topics/stocks/ciba-india-99490.html
CINEVISTA,https://mmb.moneycontrol.com/forum-topics/stocks/cinevista-38481.html
CIPLA,https://mmb.moneycontrol.com/forum-topics/stocks/cipla-421.html
CLARIANT,https://mmb.moneycontrol.com/forum-topics/stocks/sudarshan-color-2001.html
COCHINREFN,https://mmb.moneycontrol.com/forum-topics/stocks/kochi-refin-17932.html
COLPAL,https://mmb.moneycontrol.com/forum-topics/stocks/colgate-921.html
CONCOR,https://mmb.moneycontrol.com/forum-topics/stocks/container-corp-5882.html
CONSOFINVT,https://mmb.moneycontrol.com/forum-topics/stocks/consol-finvest-21765.html
CORPBANK,https://mmb.moneycontrol.com/forum-topics/stocks/corporation-bk-1124.html
COSMOFILMS,https://mmb.moneycontrol.com/forum-topics/stocks/cosmo-films-3261.html
CREATIVEYE,https://mmb.moneycontrol.com/forum-topics/stocks/creative-eye-62561.html
CRISIL,https://mmb.moneycontrol.com/forum-topics/stocks/crisil-5983.html
CUB,https://mmb.moneycontrol.com/forum-topics/stocks/city-union-bank-10681.html
CYBERTECH,https://mmb.moneycontrol.com/forum-topics/stocks/cybertech-10201.html
DABUR,https://mmb.moneycontrol.com/forum-topics/stocks/dabur-india-2551.html
DALMIACEM,https://mmb.moneycontrol.com/forum-topics/stocks/dalmia-sugar-72490.html
DCMDAEWOO,https://mmb.moneycontrol.com/forum-topics/stocks/daewoo-motors-15202.html
DCMSRMCONS,https://mmb.moneycontrol.com/forum-topics/stocks/dcm-shriram-2744.html
DCW,https://mmb.moneycontrol.com/forum-topics/stocks/dcw-4241.html
DEEPAKFERT,https://mmb.moneycontrol.com/forum-topics/stocks/deepak-fert-re-511559.html
DENSO,https://mmb.moneycontrol.com/forum-topics/stocks/denso-india-10183.html
DHAMPURSUG,https://mmb.moneycontrol.com/forum-topics/stocks/dhampur-sugar-41885.html
DIGITALEQP,https://mmb.moneycontrol.com/forum-topics/stocks/digital-global-2641.html
D-LINK,https://mmb.moneycontrol.com/forum-topics/stocks/d-link-india-509105.html
DRREDDY,https://mmb.moneycontrol.com/forum-topics/stocks/dr-reddys-labs-2201.html
EICHER,https://mmb.moneycontrol.com/forum-topics/stocks/eicher-motors-4381.html
EICHERMOT,https://mmb.moneycontrol.com/forum-topics/stocks/eicher-motors-4381.html
EIDPARRY,https://mmb.moneycontrol.com/forum-topics/stocks/eid-parry-8621.html
EIHOTEL,https://mmb.moneycontrol.com/forum-topics/stocks/eih-28801.html
ELECTCAST,https://mmb.moneycontrol.com/forum-topics/stocks/electrosteel-6022.html
ELGIEQUIP,https://mmb.moneycontrol.com/forum-topics/stocks/elgi-equipments-21622.html
EMERCK,https://mmb.moneycontrol.com/forum-topics/stocks/merck-10001.html
ENGINERSIN,https://mmb.moneycontrol.com/forum-topics/stocks/engineersind-4982.html
ESABINDIA,https://mmb.moneycontrol.com/forum-topics/stocks/esab-india-2607.html
ESCORTS,https://mmb.moneycontrol.com/forum-topics/stocks/escorts-5161.html
ESSAROIL,https://mmb.moneycontrol.com/forum-topics/stocks/essar-oil-14142.html
ESSELPACK,https://mmb.moneycontrol.com/forum-topics/stocks/essel-propack-404.html
ESTL,https://mmb.moneycontrol.com/forum-topics/stocks/essar-steel-1154.html
EVEREADY,https://mmb.moneycontrol.com/forum-topics/stocks/eveready-ind-17936.html
EXCELINDUS,https://mmb.moneycontrol.com/forum-topics/stocks/excel-8581.html
FAGBEARING,https://mmb.moneycontrol.com/forum-topics/stocks/fag-bearings-1581.html
FDC,https://mmb.moneycontrol.com/forum-topics/stocks/fdc-9041.html
FEDERALBNK,https://mmb.moneycontrol.com/forum-topics/stocks/federal-bank-6423.html
FINCABLES,https://mmb.moneycontrol.com/forum-topics/stocks/finolex-cables-11381.html
FINPIPE,https://mmb.moneycontrol.com/forum-topics/stocks/finolex-ind-27144.html
FLEX,https://mmb.moneycontrol.com/forum-topics/stocks/uflex-44203.html
FLEXCHEM,https://mmb.moneycontrol.com/forum-topics/stocks/fcl-tech-25666.html
FORBESGOK,https://mmb.moneycontrol.com/forum-topics/stocks/forbes-gokak-122902.html
FOSECOIND,https://mmb.moneycontrol.com/forum-topics/stocks/foseco-india-19981.html
FULFORD,https://mmb.moneycontrol.com/forum-topics/stocks/fulford-39201.html
GAIL,https://mmb.moneycontrol.com/forum-topics/stocks/gail-1084.html
GARDENSILK,https://mmb.moneycontrol.com/forum-topics/stocks/garden-silk-30961.html
GARWALLROP,https://mmb.moneycontrol.com/forum-topics/stocks/garware-wall-94091.html
GEOMETRIC,https://mmb.moneycontrol.com/forum-topics/stocks/geometric-5122.html
GEORGWILIM,https://mmb.moneycontrol.com/forum-topics/stocks/williamson-tea-246053.html
GERMANREM,https://mmb.moneycontrol.com/forum-topics/stocks/german-remedies-14941.html
GESHIP,https://mmb.moneycontrol.com/forum-topics/stocks/ge-shipping-1086.html
GHCL,https://mmb.moneycontrol.com/forum-topics/stocks/guj-heavy-chem-5142.html
GIPCL,https://mmb.moneycontrol.com/forum-topics/stocks/guj-ind-power-11281.html
GLAXO,https://mmb.moneycontrol.com/forum-topics/stocks/glaxosmithkline-924.html
GLENMARK,https://mmb.moneycontrol.com/forum-topics/stocks/glenmark-54281.html
GMDCLTD,https://mmb.moneycontrol.com/forum-topics/stocks/guj-mineral-9541.html
GNFC,https://mmb.moneycontrol.com/forum-topics/stocks/gnfc-10122.html
GODAVRFERT,https://mmb.moneycontrol.com/forum-topics/stocks/godavari-fert-3661.html
GODFRYPHLP,https://mmb.moneycontrol.com/forum-topics/stocks/godfrey-phillip-3238.html
GODREJIND,https://mmb.moneycontrol.com/forum-topics/stocks/godrej-ind-8923.html
GOODRICKE,https://mmb.moneycontrol.com/forum-topics/stocks/goodricke-group-243142.html
GOODYEAR,https://mmb.moneycontrol.com/forum-topics/stocks/goodyear-670.html
GRASIM,https://mmb.moneycontrol.com/forum-topics/stocks/grasim-2261.html
GREAVES,https://mmb.moneycontrol.com/forum-topics/stocks/greaves-cotton-41888.html
GSFC,https://mmb.moneycontrol.com/forum-topics/stocks/gsfc-9482.html
GTNTEXT,https://mmb.moneycontrol.com/forum-topics/stocks/gtn-textiles-246466.html
GUJALKALI,https://mmb.moneycontrol.com/forum-topics/stocks/guj-alkali-11641.html
GUJFLUORO,https://mmb.moneycontrol.com/forum-topics/stocks/gfl-20702.html
GUJRATGAS,https://mmb.moneycontrol.com/forum-topics/stocks/gujarat-gas-1962.html
GULFOIL,https://mmb.moneycontrol.com/forum-topics/stocks/gulf-oil-lubric-509737.html
HARRMALAYA,https://mmb.moneycontrol.com/forum-topics/stocks/harrisons-malay-4502.html
HAVELLS,https://mmb.moneycontrol.com/forum-topics/stocks/havells-india-24362.html
HCL-INSYS,https://mmb.moneycontrol.com/forum-topics/stocks/hcl-info-9142.html
HCLTECH,https://mmb.moneycontrol.com/forum-topics/stocks/hcl-tech-682.html
HDFC,https://mmb.moneycontrol.com/forum-topics/stocks/hdfc-bank-4962.html
HDFCBANK,https://mmb.moneycontrol.com/forum-topics/stocks/hdfc-bank-4962.html
HEG,https://mmb.moneycontrol.com/forum-topics/stocks/heg-3222.html
HEROHONDA,https://mmb.moneycontrol.com/forum-topics/stocks/hero-motocorp-1104.html
HFCL,https://mmb.moneycontrol.com/forum-topics/stocks/hfcl-2961.html
HIMATSEIDE,https://mmb.moneycontrol.com/forum-topics/stocks/himatsingka-sei-5543.html
HINDCONS,https://mmb.moneycontrol.com/forum-topics/stocks/hind-constr-1641.html
HINDLEVCHM,https://mmb.moneycontrol.com/forum-topics/stocks/hind-lever-chem-11661.html
HINDLEVER,https://mmb.moneycontrol.com/forum-topics/stocks/hind-lever-chem-11661.html
HINDMOTORS,https://mmb.moneycontrol.com/forum-topics/stocks/hind-motors-5421.html
HINDOILEXP,https://mmb.moneycontrol.com/forum-topics/stocks/hoec-5521.html
HINDPETRO,https://mmb.moneycontrol.com/forum-topics/stocks/hpcl-1981.html
HINDUJATMT,https://mmb.moneycontrol.com/forum-topics/stocks/ndl-ventures-ltd-1144.html
HINDZINC,https://mmb.moneycontrol.com/forum-topics/stocks/hind-zinc-5963.html
HINPOWPLUS,https://mmb.moneycontrol.com/forum-topics/stocks/hind-powerplus-79293.html
HOCL,https://mmb.moneycontrol.com/forum-topics/stocks/hind-org-chem-3162.html
HOECHST,https://mmb.moneycontrol.com/forum-topics/stocks/sanofi-india-1151.html
HOTELEELA,https://mmb.moneycontrol.com/forum-topics/stocks/hotel-leela-32926.html
IBP,https://mmb.moneycontrol.com/forum-topics/stocks/rattan-power-509092.html
